hz7ukDjuq4w,17.14.11,What's Inside a Detectives Car?,officer401,24,2017-11-12T23:41:37.000Z,67661,3781,84,626,FALSE
p2hJxyF7mok,17.14.11,New Emirates First Class Suite | Boeing 777 | Emirates,Emirates,19,2017-11-12T05:55:42.000Z,141148,1661,70,236,FALSE
0mlNzVSJrT0,17.14.11,Me-O Cats Commercial,Nobrand,22,2017-04-21T06:47:32.000Z,98966,2486,184,532,FALSE
Om_zGhJLZ5U,17.14.11,TL;DW - Every DCEU Movie Before Justice League,Screen Junkies,1,2017-11-12T18:00:03.000Z,288922,7515,792,2111,FALSE
e_7zHm7GsYc,17.14.11,Hunter Hayes - You Should Be Loved (Part One Of Pictures),Hunter Hayes,10,2017-11-13T15:01:18.000Z,13917,1318,24,76,FALSE
dQvIbulWCM4,17.14.11,Celebrities on Thanksgiving 2017!,Niki and Gabi,23,2017-11-12T23:41:48.000Z,605932,38397,1387,3412,FALSE
zZ9FciUx6gs,17.14.11,Nickelback - The Betrayal Act III [Official Video],Nickelback,10,2017-11-13T15:31:44.000Z,57169,6927,161,565,FALSE
PaJCFHXcWmM,17.14.11,U2 - The Blackout,U2VEVO,10,2017-11-13T17:00:04.000Z,60506,5389,106,455,FALSE
goP4Z5wyOlM,17.14.11,Iraq-Iran earthquake: Deadly tremor hits border region - BBC News,BBC News,25,2017-11-12T21:16:40.000Z,34785,308,26,413,FALSE
NZFhMSgbKKM,17.14.11,Dennis Smith Jr. and LeBron James go back and forth,Ben Rohrbach,17,2017-11-13T15:11:00.000Z,945,7,5,8,FALSE
0tO_l_Ed5Rs,17.14.11,Matthew Santoro - FACTS (Official Music Video) f. Ellevan & Humble the Poet,MatthewSantoro,10,2017-11-11T16:00:01.000Z,328330,15186,15448,7484,FALSE
STI2fI7sKMo,17.14.11,"AFFAIRS, EX BOYFRIENDS, $18MILLION NET WORTH - GOOGLE US | Shawn and Andrew",Shawn Johnson East,22,2017-11-11T15:00:03.000Z,321053,4451,1772,895,FALSE
BWPrk9PUwQE,17.14.11,iPhone X vs Makeup Transformation (Face ID TEST),dope2111,26,2017-11-12T00:45:54.000Z,1456472,33505,1660,2160,FALSE
ogYum4kWXgk,17.14.11,People are Awesome & The Pet Collective present Pets are Awesome!,People are Awesome,24,2017-11-13T13:00:06.000Z,69844,3417,33,160,FALSE
sbcbvuitiTc,17.14.11,Stephon Marbury and Jimmer Fredette fight in China,NBA Highlights · YouTube,17,2017-11-10T18:23:05.000Z,956169,2017,2425,1447,FALSE
zNqCVTs38nU,17.14.11,Heidelberg's nifty hook-and-lateral to the left tackle,D3sports.com,17,2017-11-13T02:15:30.000Z,4569,35,18,19,FALSE
DM-ni_LSOFE,17.14.11,"ELDERS REACT TO iPHONE X (Facial Recognition, Animojis)",FBE,24,2017-11-10T23:05:25.000Z,2045386,45406,2842,8309,FALSE
0PpNlNJ6Nng,17.14.11,Will It Watermarble?! Sister Edition | Watermarbling 9 random objects in nail polish!,Simply Nailogical,24,2017-11-11T19:03:43.000Z,1842393,99086,1339,11800,FALSE
c-3JxzN2u34,17.14.11,Lin-Manuel Miranda's next act: Helping rebuild Puerto Rico,CBS Sunday Morning,25,2017-11-12T15:05:55.000Z,6473,205,6,15,FALSE
069D0NmW39o,17.14.11,"Wildest Superstar distractions: WWE Top 10, Nov. 11, 2017",WWE,17,2017-11-11T15:00:00.000Z,1044813,15397,838,1100,FALSE
